,Match,ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
370,Chlamydonema tumefaciens,Physaloptera tumefaciens,NA,0,,-1,3,-1,3,,VR,42670,,,,0,Physaloptera tumefaciens      ,41,Physaloptera tumefaciens      ,0,found in macaques,Hayama and Nigi 1963,,VR,42670,,,,NA,0,0,Yes,"Gupta, V., and S. Johri. ""Nematode parasites of vertebrates iii. A new nematode, Physaloptera (Chlamydonema) Guptai, new species (Physalopteridae) from the stomach of a domestic cat Felis catus Domesticus from Lucknow, India."" Pakistan Journal of Zoology (Pakistan) (1987).",Chlamydonema tumefaciens,Chlamydonema tumefaciens,Chlamydonema tumefaciens,0,0,0,1,Physaloptera tumefaciens,yes,synonym,,GBIF ID 7027383,,Helminth,Nematoda,Secernentea,Spirurida,Physalopteridae,
399,Colobenterobius colobis,Colobenterobius colobis,NA,0,,,,-1,3,,VR,42732,,,,,Colobenterobius colobis      ,35,Colobenterobius colobis      ,1,,"Gillespie et al., 2005",,VR,42732,,,,NA,0,1,No,,,,Colobenterobius colobis,1,1,0,0,Colobenterobius colobis,yes,valid in papers,,Hugot and Baylac 2007,"Hugot, J. P., & Baylac, M. (2007). Shape patterns of genital papillae in pinworms (Enterobiinae, Oxyurida, Nematoda) parasite of primates: A landmark analysis.?Infection, Genetics and Evolution,?7(2), 168-179.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
402,Colobenterobius entellus,Colobenterobius entellus,NA,0,,,,-1,3,,VR,42732,,,,,Colobenterobius entellus      ,17,Colobenterobius entellus      ,0,,"Quentin et al., 1979",,VR,42732,,,,NA,0,1,No,,,,Colobenterobius entellus,1,1,0,0,Colobenterobius entellus,yes,valid in papers,,Hasegawa et al. 2002,"Hasegawa, H., Murata, K., & Asakawa, M. (2002). Enterobius (Colobenterobius) pygatrichus sp. n.(Nematoda: Oxyuridae) Collected from a Golden Monkey Pygathrix roxellana (Milne-Edwards, 1870)(Primates: Cercopithecidae: Colobinae). Comparative parasitology, 69(1), 62-65.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
403,Colobenterobius guerezae,Colobenterobius guerezae,NA,0,,,,-1,3,,VR,42732,,,,,Colobenterobius guerezae      ,25,Colobenterobius guerezae      ,0,,Hugot and Baylac 2007,,VR,42732,,,,NA,0,1,No,,,,Colobenterobius guerezae,1,1,0,0,Colobenterobius guerezae,yes,valid in papers,,Hasegawa et al. 2003,"Hasegawa, H., Matsuo, K., & Onuma, M. (2003). Enterobius (Colobenterobius) serratus sp. nov.(Nematoda: Oxyuridae) from the Proboscis Monkey, Nasalis larvatus (Wurmb, 1787)(Primates: Cercopithecidae: Colobinae), in Sarawak, Borneo, Malaysia. Comparative parasitology, 70(2), 128-131.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
404,Colobenterobius inglisi,Colobenterobius inglisi,NA,0,,,,-1,3,,VR,42732,,,,,Colobenterobius inglisi      ,23,Colobenterobius inglisi      ,1,,"Hugot et al., 1996",,VR,42732,,,,NA,0,1,No,,,,Colobenterobius inglisi,1,1,0,0,Enterobius inglisi,yes,valid in papers,,Hasegawa et al. 2008,"Hasegawa, H., Greiner, E. C., & Gillespie, T. R. (2008). Morphology of Enterobius (Colobenterobius) Colobis Vuylst??ke, 1964 (Nematoda: Oxyuridae: Enterobiinae) Collected from an Ashy Red Colobus, Procolobus rufomitratus tephrosceles (Elliot, 1907)(Primates: Cercopithecidae: Colobinae), in Uganda. Journal of Parasitology, 94(5), 1082-1086.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
407,Colobenterobius longispiculum,Colobenterobius longispiculum,NA,0,,,,-1,3,,VR,42732,,,,,Colobenterobius longispiculum      ,11,Colobenterobius longispiculum      ,0,,Hugot and Baylac 2007,,VR,42732,,,,NA,0,1,No,,,,Colobenterobius longispiculum,1,1,0,0,Colobenterobius longispiculum,yes,valid in papers,,Hasegawa et al. 2002,"Hasegawa, H., Murata, K., & Asakawa, M. (2002). Enterobius (Colobenterobius) pygatrichus sp. n.(Nematoda: Oxyuridae) Collected from a Golden Monkey Pygathrix roxellana (Milne-Edwards, 1870)(Primates: Cercopithecidae: Colobinae). Comparative parasitology, 69(1), 62-65.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
409,Colobenterobius paraguerezae,Colobenterobius paraguerezae,NA,0,,,,-1,3,,VR,42727,,,,,Colobenterobius paraguerezae      ,10,Colobenterobius paraguerezae      ,0,,"Hasegawa et al., 2003",,VR,42727,,,,NA,0,1,No,,,,Colobenterobius paraguerezae,1,1,0,0,Colobenterobius paraguerezae,yes,valid in papers,,Hasegawa et al. 2003,"Hasegawa, H., Matsuo, K., & Onuma, M. (2003). Enterobius (Colobenterobius) serratus sp. nov.(Nematoda: Oxyuridae) from the Proboscis Monkey, Nasalis larvatus (Wurmb, 1787)(Primates: Cercopithecidae: Colobinae), in Sarawak, Borneo, Malaysia. Comparative parasitology, 70(2), 128-131.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
410,Colobenterobius pesteri,Colobenterobius pesteri,NA,0,,,,-1,3,,VR,42727,,,,,Colobenterobius pesteri      ,10,Colobenterobius pesteri      ,0,,"Hasegawa et al., 2003",,VR,42727,,,,NA,0,1,No,,,,Colobenterobius pesteri,1,1,0,0,Colobenterobius pitheci,yes,valid in papers,,Hasegawa et al 2008,"Hasegawa, H., Greiner, E. C., & Gillespie, T. R. (2008). Morphology of Enterobius (Colobenterobius) Colobis Vuylst?ke, 1964 (Nematoda: Oxyuridae: Enterobiinae) Collected from an Ashy Red Colobus, Procolobus rufomitratus tephrosceles (Elliot, 1907)(Primates: Cercopithecidae: Colobinae), in Uganda.?Journal of Parasitology,?94(5), 1082-1086.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
413,Colobenterobius presbytis,Colobenterobius presbytis,NA,0,,,,-1,3,,VR,42727,,,,,Colobenterobius presbytis      ,15,Colobenterobius presbytis      ,0,,Hugot and Baylac 2007,,VR,42727,,,,NA,0,1,No,,,,Colobenterobius presbytis,1,1,0,0,Enterobius presbytis,yes,valid in papers,,Hasegawa et al. 2002,"Hasegawa, H., Murata, K., & Asakawa, M. (2002). Enterobius (Colobenterobius) pygatrichus sp. n.(Nematoda: Oxyuridae) Collected from a Golden Monkey Pygathrix roxellana (Milne-Edwards, 1870)(Primates: Cercopithecidae: Colobinae). Comparative parasitology, 69(1), 62-65.",Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
415,Colobenterobius zakiri,Enterobius zakiri,NA,0,,,,-1,3,,VR,42716,,,,,Enterobius zakiri      ,25,Enterobius zakiri      ,0,,"Hasegawa et al., 2003",,VR,42716,,,,NA,0,0,Yes,"Hasegawa, Hideo, Kayoko Matsuo, and Manabu Onuma. ""Enterobius (Colobenterobius) serratus sp. nov.(Nematoda: Oxyuridae) from the Proboscis Monkey, Nasalis larvatus (Wurmb, 1787)(Primates: Cercopithecidae: Colobinae), in Sarawak, Borneo, Malaysia."" Comparative parasitology 70.2 (2003): 128-131.",Colobenterobius zakiri,Colobenterobius zakiri,Colobenterobius zakiri,1,1,0,0,Enterobius zakiri,yes,valid name in papers,,"Hasegawa, H., Matsuo, K., & Onuma, M. (2003). Enterobius (Colobenterobius) serratus sp. nov.(Nematoda: Oxyuridae) from the Proboscis Monkey, Nasalis larvatus (Wurmb, 1787)(Primates: Cercopithecidae: Colobinae), in Sarawak, Borneo, Malaysia.?Comparative parasitology,?70(2), 128-131.",,Helminth,Nematoda,Secernentea,Oxyurida,Oxyuridae,
420,Concinnum ten,Concinnum ten,NA,0,,-1,2,-1,1,,VR,42727,,,,,Concinnum ten      ,1680,Concinnum ten      ,2,weasles/raccoons,"Sato et al., 2010",,VR,42727,,,,NA,0,1,No,,,,Concinnum ten,0,0,0,1,Concinnum ten,yes,valid name in NCBI,,NCBI 676610,,Helminth,Platyhelminthes,Trematoda,Plagiorchiida,Dicrocoeliidae,
422,Contracaecum margolisi,Contracaecum margolisi,NA,0,,0,1,-1,1,,VR,42727,,,,,Contracaecum margolisi      ,1320,Contracaecum margolisi      ,5,,"Mattiucci et al., 2003",,VR,42727,,,,NA,0,1,No,,,,Contracaecum margolisi,0,1,0,1,Contracaecum margolist n. sp.,yes,valid name in NCBI,,NCBI 270452,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
423,Contracaecum ogmorhini,Contracaecum ogmorhini,NA,0,,,,-1,2,,VR,42727,,,,,Contracaecum ogmorhini      ,146,Contracaecum ogmorhini      ,13,,"Mattiucci et al., 2003",,VR,42727,,,,NA,0,1,No,,,,Contracaecum ogmorhini,0,1,0,1,Contracaecum ogmorhini,yes,valid name in NCBI,,NCBI 139408,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
424,Contracaecum osculatum,Contracaecum osculatum,NA,0,,1,2,-1,2,,VR,42727,,,,,Contracaecum osculatum      ,1030,Contracaecum osculatum      ,110,,"Kloser et al., 1992",,VR,42727,,,,NA,0,1,No,,,,Contracaecum osculatum,0,1,0,1,Contracaecum osculatum,yes,valid name in NCBI,,NCBI 106324,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
425,Contracaecum rodhaini,Contracaecum rodhaini,NA,0,,-1,3,-1,3,,VR,42727,,,,,Contracaecum rodhaini      ,35,Contracaecum rodhaini      ,1,birds and marine mammals,Canaris and Gardner 2003,,VR,42727,,,,NA,0,1,No,,,,Contracaecum rodhaini,0,0,0,1,Contracaecum rodhaini,yes,valid in papers,,Barson et al. 2008,"Barson, M., Bray, R., Ollevier, F., & Huyse, T. (2008). Taxonomy and faunistics of the helminth parasites of Clarias gariepinus (Burchell, 1822), and Oreochromis mossambicus (Peters, 1852) from temporary pans and pools in the Save-Runde River floodplain, Zimbabwe. Comparative Parasitology, 75(2), 228-240.",Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
426,Contracaecum spiculigerum,Contracaecum spiculigerum,NA,0,,,,-1,2,,VR,42727,,,,,Contracaecum spiculigerum      ,331,Contracaecum spiculigerum      ,7,,Huizinga 1971,,VR,42727,,,,NA,0,1,No,,,,Contracaecum spiculigerum,0,1,0,1,Contracaecum spiculigerum,yes,valid name in NCBI,,NCBI 292499,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
427,Controrchis biliophilus,Controrchis biliophilus,NA,0,,-1,3,-1,3,,VR,42727,,,,,Controrchis biliophilus      ,44,Controrchis biliophilus      ,6,howler monkey,"Stuart et al., 1998",,VR,42727,,,,NA,0,1,No,,,,Controrchis biliophilus,0,0,0,1,Controrchis biliophilus,yes,valid in papers,,Eckert et al. 2006,"Eckert, K. A., Hahn, N. E., Genz, A., Kitchen, D. M., Stuart, M. D., Averbeck, G. A., ... & Markowitz, H. (2006). Coprological surveys of Alouatta pigra at two sites in Belize. International Journal of Primatology, 27(1), 227-238. Chicago",Helminth,Platyhelminthes,Trematoda,Plagiorchiida,Dicrocoeliidae,
428,Cooperia acutispiculum,Cooperia acutispiculum,NA,0,,,,-1,3,,VR,42727,,,,,Cooperia acutispiculum      ,11,Cooperia acutispiculum      ,1,,"Boomker et al., 1988",,VR,42727,,,,NA,0,1,No,,,,Cooperia acutispiculum,0,1,0,0,Cooperia acutispiculum,yes,valid in papers,,Van Wyk and Bookmer 2011,"Van Wyk, I. C., & Boomker, J. (2011). Parasites of South African wildlife: XIX. The prevalence of helminths in some common antelopes, warthogs and a bushpig in the Limpopo province, South Africa. Onderstepoort Journal of Veterinary Research, 78(1), 1-11.",Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
429,Cooperia connochaeti,Cooperia connochaeti,NA,0,,,,-1,3,,VR,42727,,,,,Cooperia connochaeti      ,19,Cooperia connochaeti      ,1,,Horak 1980,,VR,42727,,,,NA,0,1,No,,,,Cooperia connochaeti,0,1,0,0,Cooperia connochaeti,yes,valid name in papers,,,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
431,Cooperia fuelleborni,Cooperia fuelleborni,NA,0,,-1,2,-1,2,,VR,42727,,,,,Cooperia fuelleborni      ,300,Cooperia fuelleborni      ,3,impala,"Morales et al., 2001",NEED,VR,42727,,,,NA,0,1,No,,,,Cooperia fuelleborni,0,1,0,0,Cooperia fuelleborni,yes,valid name in NCBI,,NCBI 1701394,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
432,Cooperia hungi,Cooperia hungi,NA,0,,,,-1,3,,VR,42727,,,,,Cooperia hungi      ,70,Cooperia hungi      ,4,,Horak 1980,,VR,42727,,,,NA,0,1,No,,,,Cooperia hungi,0,1,0,0,Cooperia hungi,yes,valid in papers,,Van Wyk and Bookmer 2011,"Van Wyk, I. C., & Boomker, J. (2011). Parasites of South African wildlife: XIX. The prevalence of helminths in some common antelopes, warthogs and a bushpig in the Limpopo province, South Africa. Onderstepoort Journal of Veterinary Research, 78(1), 1-11.",Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
433,Cooperia neitzi,Cooperia neitzi,NA,0,,,,-1,3,,VR,42727,,,,,Cooperia neitzi      ,53,Cooperia neitzi      ,2,,"Hoberg et al., 1993",,VR,42727,,,,NA,0,1,No,,,,Cooperia neitzi,0,1,0,0,Cooperia neitzi,yes,valid in papers,,Van Wyk and Bookmer 2011,"Van Wyk, I. C., & Boomker, J. (2011). Parasites of South African wildlife: XIX. The prevalence of helminths in some common antelopes, warthogs and a bushpig in the Limpopo province, South Africa. Onderstepoort Journal of Veterinary Research, 78(1), 1-11.",Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
434,Cooperia oncophora,Cooperia oncophora,NA,0,,-1,2,-1,1,,VR,42727,,,,,Cooperia oncophora      ,3220,Cooperia oncophora      ,360,cattle only,Njue and Prichard 2004,,VR,42727,,,,NA,0,1,No,,,,Cooperia oncophora,0,1,0,0,Cooperia oncophora,yes,valid name in NCBI,,NCBI 27828,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
435,Cooperia pectinata,Cooperia pectinata,NA,0,,-1,2,-1,1,,VR,42727,,,,,Cooperia pectinata      ,1090,Cooperia pectinata      ,51,cattle only,"Anziani et al., 2004",,VR,42727,,,,NA,0,1,No,,,,Cooperia pectinata,0,1,0,0,Cooperia pectinata,yes,valid name in NCBI,,NCBI 420891,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
436,Cooperia punctata,Cooperia punctata,NA,0,,-1,2,-1,1,,VR,42727,,,,,Cooperia punctata      ,2120,Cooperia punctata      ,122,cattle only,"Bricarello et al., 2008",,VR,42727,,,,NA,0,1,No,,,,Cooperia punctata,0,1,0,0,Cooperia punctata,yes,valid name in NCBI,,NCBI 96640,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
437,Cooperia rotundispiculum,Cooperia rotundispiculum,NA,0,,-1,2,-1,3,,VR,42727,,,,,Cooperia rotundispiculum      ,36,Cooperia rotundispiculum      ,10,antelope,Boomker 1991,,VR,42727,,,,NA,0,1,No,,,,Cooperia rotundispiculum,0,1,0,0,Cooperia rotundispiculum,yes,valid in papers,,Boomker et al. 2000,"Boomker, J., Horak, I. G., Watermeyer, R., & Booyse, D. G. (2000). Parasites of South African wildlife. XVI helminths of some antelop species for the Eastern and Western Cape Provinces. The Onderstepoort journal of veterinary research, 67(1), 31.",Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
438,Cooperia yoshidai,Cooperia yoshidai,NA,3,,,,-1,3,,VR,42727,,,,,Cooperia yoshidai      ,122,Cooperia yoshidai      ,1,,"Boomker et al., 1991",,VR,42727,,,,NA,0,1,No,,,,Cooperia yoshidai,0,1,0,0,Cooperia yoshidai,yes,valid name in papers,,,,Helminth,Nematoda,Secernentea,Strongylida,Cooperiidae,
440,Cooperioides antidorca,Cooperoides antidorca,NA,0,,,,-1,3,,VR,42727,,,,,Cooperoides antidorca      ,3,Cooperoides antidorca      ,0,,Canaris and Gardner 2003,,VR,42727,,,,NA,0,0,Yes,Cooperioides antidorca,,,Cooperoides antidorca,0,1,0,0,Cooperiodes antidorca,yes,valid name in papers,,,,Helminth,Nematoda,Secernentea,Strongylida,Trichostrongylidae,
441,Cooperioides hamiltoni,Cooperioides hamiltoni,NA,0,,,,-1,3,,VR,42727,,,,,Cooperioides hamiltoni      ,41,Cooperioides hamiltoni      ,1,,"Boomker et al., 1988",,VR,42727,,,,NA,0,1,No,,,,Cooperioides hamiltoni,0,1,0,0,Cooperiodes hamiltoni,yes,valid in papers,,Gibbons 1978,"Gibbons, L. M. (1978). Revision of the genus Cooperioides Daubney, 1933 (Nematoda: Trichostrongylidae).?Journal of Helminthology,?52(04), 311-322.",Helminth,Nematoda,Secernentea,Strongylida,Trichostrongylidae,
444,Cooperioides hepaticae,Cooperioides hepaticae,NA,0,,,,-1,3,,VR,42727,,,,,Cooperioides hepaticae      ,54,Cooperioides hepaticae      ,5,,"Pletcher et al., 1988",,VR,42727,,,,NA,0,1,No,,,,Cooperioides hepaticae,0,1,0,0,Cooperioides hepaticae,yes,valid name in papers,,Pletcher et al 1988,"Pletcher, J. M., Horak, I. G., de Vos, V., & Boomker, J. (1988). Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park.?Journal of Wildlife Diseases,?24(4), 650-655.",Helminth,Nematoda,Secernentea,Strongylida,Trichostrongylidae,
452,Corynosoma australe,Corynosoma australe,NA,0,,-1,2,-1,2,,VR,42726,,,,,Corynosoma australe      ,542,Corynosoma australe      ,35,marine fish,"Sardella et al., 2005",,VR,42726,,,,NA,0,1,No,,,,Corynosoma australe,0,0,0,1,Corynosoma australe,yes,valid name in NCBI,,NCBI 141686,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
453,Corynosoma enhydri,Corynosoma enhydri,NA,0,,-1,2,-1,3,,VR,42726,,,,,Corynosoma enhydri      ,41,Corynosoma enhydri      ,3,sea otter,"Margolis et al., 1997",,VR,42726,,,,NA,0,1,No,,,,Corynosoma enhydri,0,0,0,1,Corynosoma enhydri,yes,valid name in NCBI,,NCBI 60530,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
454,Corynosoma hadweni,Corynosoma hadweni,NA,0,,,,-1,3,,VR,42726,,,,,Corynosoma hadweni      ,28,Corynosoma hadweni      ,1,,"Nickol et al., 2002",,VR,42726,,,,NA,0,1,No,,,,Corynosoma hadweni,0,0,0,1,Corynosoma hadweni,yes,valid in papers,,Skirnisson et al. 1993,"Skirnisson, K., Eydal, M., Gunnarsson, E., & Hersteinsson, P. (1993). Parasites of the arctic fox (Alopex lagopus) in Iceland. Journal of Wildlife Diseases, 29(3), 440-446.",Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
455,Corynosoma magdaleni,Corynosoma magdaleni,NA,0,,-1,2,-1,3,,VR,42726,,,,,Corynosoma magdaleni      ,95,Corynosoma magdaleni      ,7,Seals:Baltic,"Nickol et al., 2002",,VR,42726,,,,NA,0,1,No,,,,Corynosoma magdaleni,0,0,0,1,Corynosoma magdaleni,yes,valid name in NCBI,,NCBI 272946,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
456,Corynosoma obtuscens,Corynosoma obtuscens,NA,0,,0,2,-1,3,,VR,42726,,,,,Corynosoma obtuscens      ,70,Corynosoma obtuscens      ,1,,"Cabrera et al., 1999",,VR,42726,,,,NA,0,1,No,,,,Corynosoma obtuscens,0,0,0,1,Corynosoma obtuscens,yes,valid name in NCBI,,NCBI 1227245,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
457,Corynosoma reductum,Corynosoma reductum,NA,0,,-1,3,-1,2,,VR,42726,,,,,Corynosoma reductum      ,300,Corynosoma reductum      ,1,,"Aznar et al., 2006",,VR,42726,,,,NA,0,1,No,,,,Corynosoma reductum,0,0,0,1,Corynosoma reductum,yes,valid in papers,,Aznar et al. 2006,"Aznar, F. J., P??rez-Ponce de Le??n, G., & Raga, J. A. (2006). Status of Corynosoma (Acanthocephala: Polymorphidae) based on anatomical, ecological, and phylogenetic evidence, with the erection of Pseudocorynosoma n. gen. Journal of Parasitology, 92(3), 548-564.",Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
458,Corynosoma semerme,Corynosoma semerme,NA,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma semerme      ,258,Corynosoma semerme      ,13,,"Nickol et al., 2002",,VR,42726,,,,NA,0,1,No,,,,Corynosoma semerme,0,0,0,1,Corynosoma semerme,yes,valid in papers,,Nickol et al. 2002,"Nickol, B. B., Helle, E., & Valtonen, E. T. (2002). Corynosoma magdaleni in gray seals from the Gulf of Bothnia, with emended descriptions of Corynosoma strumosum and Corynosoma magdaleni. Journal of Parasitology, 88(6), 1222-1229.",Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
459,Corynosoma strumosum,Corynosoma strumosum,NA,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma strumosum      ,600,Corynosoma strumosum      ,38,,"Nickol et al., 2002",,VR,42726,,,,NA,0,1,No,,,,Corynosoma strumosum,0,0,0,1,Corynosoma strumosum,yes,valid name in NCBI,,NCBI 141827,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
463,Corynosoma validum,Corynosoma validum,NA,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma validum      ,43,Corynosoma validum      ,4,,Shults 1986,,VR,42726,,,,NA,0,1,No,,,,Corynosoma validum,0,0,0,1,Corynosoma validum,yes,valid name in NCBI,,NCBI 141828,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
464,Corynosoma villosum,Corynosoma villosum,NA,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma villosum      ,62,Corynosoma villosum      ,5,,"Blaylock et al., 2003",,VR,42726,,,,NA,0,1,No,,,,Corynosoma villosum,0,0,0,1,Corynosoma villosum,yes,valid name in NCBI,,NCBI 141829,,Helminth,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,
465,Cotylophoron cotylophorum,Paramphistomum cotylophorum,NA,0,,-1,3,-1,2,,VR,42675,,,,0,Paramphistomum cotylophorum      ,611,Paramphistomum cotylophorum      ,10,cestode found in goats,Anderson 1983,,VR,42675,,,,NA,0,0,Yes,Stiles & Goldberger (1910) established the genus Cotylophoron for Paramphistomum cotylophorum ,Cotylophoron cotylophorum,Cotylophoron cotylophorum,Cotylophoron cotylophorum,0,1,0,1,Paramphistomum cotylophorum,yes,Looks like this should be Cotylophoron cotylophorum (valid name in NCBI),,"1280158, Alarcon and Velasquez 2009","Alarc?n, E. P., & Velòsquez, L. E. (2009). Descripci?n morfol?gica de Cotylophoron cotylophorum (Digenea: Paramphistomidae) hallado en bovinos de Rionegro, Antioquia, Colombia.?Revista Colombiana de Ciencias Pecuarias (Colombian journal of animal science and veterinary medicine),?22(2), 168-177.",Helminth,Platyhelminthes,Trematoda,Echinostomida,Paramphistomidae,
466,Cotylophoron indicum,Cotylophoron indicum,NA,0,,,,-1,3,,VR,42726,,,,,Cotylophoron indicum      ,87,Cotylophoron indicum      ,0,,Goil 1961,NEED,VR,42726,,,,NA,0,1,No,,,,Cotylophoron indicum,0,1,0,1,Cotylophoron indicum,yes,valid in papers,,Zhang et al. 2011,"Zhang, H., Zhang, W., Zhu, R., & Zhuge, H. X. (2011). [Localization of acetylcholinesterase in the nervous system of Cotylophoron indicum].Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi= Chinese journal of parasitology & parasitic diseases, 29(1), 71-73.",Helminth,Platyhelminthes,Trematoda,Echinostomida,Paramphistomidae,
467,Cotylophoron jacksoni,Cotylophoron jacksoni,NA,0,,,,-1,3,,VR,42726,,,,,Cotylophoron jacksoni      ,82,Cotylophoron jacksoni      ,2,,"Boomker et al., 1991",,VR,42726,,,,NA,0,1,No,,,,Cotylophoron jacksoni,0,1,0,1,Cotylophoron jacksoni,yes,valid in papers,,Miranda and Costa 1999,"Miranda, M. A., & Costa, H. M. A. (1999). Report and redescription of some species of Cotylophoron (Trematoda: Paramphistomidae) in domestic ruminants of Brazil. Rev Bras Parasitol Vet, 8(1), 1-15.",Helminth,Platyhelminthes,Trematoda,Echinostomida,Paramphistomidae,
474,Craterostomum acuticaudatum,Craterostomum acuticaudatum,NA,0,,-1,2,-1,3,,VR,42726,,,,,Craterostomum acuticaudatum      ,115,Craterostomum acuticaudatum      ,3,horse foals,Scialdo-Krecek 1983,,VR,42726,,,,NA,0,1,No,,,,Craterostomum acuticaudatum,0,1,0,0,Craterostomum acuticaudatum,yes,valid name in NCBI,,NCBI 74591,,Helminth,Nematoda,Secernentea,Strongylida,Strongylidae,
475,Crenosoma goblei,Crenosoma goblei,NA,0,,,,-1,3,,VR,42726,,,,,Crenosoma goblei      ,27,Crenosoma goblei      ,2,,Babero and Shepperson 1958,,VR,42726,,,,NA,0,1,No,,,,Crenosoma goblei,0,0,0,1,Crenosoma goblei,yes,valid in papers,,Kimber and Kollias 2000,"Kimber, K. R., & Kollias, G. V. (2000). Infectious and parasitic diseases and contaminant-related problems of North American river otters (Lontra canadensis): a review. Journal of Zoo and Wildlife Medicine, 31(4), 452-472. Chicago",Helminth,Nematoda,Secernentea,Rhabditida,Crenosomatidae,
476,Crenosoma melesi,Crenosoma melesi,NA,0,,-1,3,-1,3,,VR,42726,,,,,Crenosoma melesi      ,21,Crenosoma melesi      ,3,European Badgers,"Torres et al., 2008",NEED,VR,42726,,,,NA,0,1,No,,,,Crenosoma melesi,0,0,0,1,Crenosoma melesi,yes,valid in papers,,Vieira et al. 2012,"Vieira, F. M., Muniz-Pereira, L. C., de Souza Lima, S., Neto, A. H. M., Gon??alves, P. R., & Luque, J. L. (2012). Crenosoma brasiliense sp. n.(Nematoda: Metastrongyloidea) parasitic in lesser grison, Galictis cuja (Molina, 1782)(Carnivora, Mustelidae) from Brazil, with a key to species of Crenosoma Molin, 1861. Folia parasitologica, 59(3), 187.",Helminth,Nematoda,Secernentea,Rhabditida,Crenosomatidae,
477,Crenosoma petrowi,Crenosoma petrowi,NA,0,,-1,3,-1,3,,VR,42726,,,,,Crenosoma petrowi      ,111,Crenosoma petrowi      ,3,European Badgers,Seville and Addison 1995,,VR,42726,,,,NA,0,1,No,,,,Crenosoma petrowi,0,0,0,1,Crenosoma petrowi,yes,valid in papers,,Ribas et al. 2004,"Ribas, A., Milazzo, C., Foronda, P., & Casanova, J. C. (2004). Research Note New data on helminths of stone marten, Martes foina (Carnivora, Mustelidae), in Italy. Helminthologia, 41(1), 59-61. Chicago",Helminth,Nematoda,Secernentea,Rhabditida,Crenosomatidae,
